country,tert_b_grad_rate,tert_a_grad_rate,year,education_spending,ancillary_spending,rd_spending,total_spending,partner_country,tert_percent_gdp,tert_a_percent_gdp,tert_b_percent_gdp,all_ed_percent_gdp,population,gdp_usd,gdp_usd_capita
Australia,NA,0.49,2003,7903.59788236719,741.21765747135,3760.80558303109,12405.6211228696,0,0.0154698593318277,0.0139117324645955,0.0015581268672322701,0.0576514343489925,19720737,637698306000,32336.494452
Austria,NA,0.19008216837167702,2003,8045.22248467734,70.8302320843759,4228.14297687541,12344.1956936371,0,0.011395786555814,0.0106629292763738,7.32857279440274e-4,0.0549313309365197,8118245,260788036000,32123.696189
Belgium,NA,NA,2003,7721.71915814163,417.04836723464,3685.61630835716,11824.3838337334,0,0.013027118126564,NA,NA,0.0612855340186063,10376130,320632747000,30901.382717
Canada,NA,NA,2003,15689.4899668948,1247.8981578332,3054.4947037625,19991.8828284905,0,0.023718651950326103,0.0144670416795623,0.00925161027076371,0.059326119449956,31644028,1023165602000,32333.608155
Czech Republic,0.03632895168261349,0.16956091745401503,2003,5479.26800163779,219.161802993961,1075.79514326783,6774.22494789958,0,0.010700791107852301,0.0101370499764651,5.63741131387133e-4,0.047191213025519006,10201651,198965796000,19503.293709
Denmark,0.0967433100525779,0.4222053401479144,2003,10190.3707749408,NA,3823.67387709942,14014.0446520402,0,0.0175006473399144,NA,NA,0.0701459671258322,5387174,165968360000,30791.903459
Finland,0.0158239317689336,0.48730079065572424,2003,7505.99964172561,NA,4540.45423235266,12046.9265277472,0,0.0177432360974967,0.017733972363781002,NA,0.061306327387073,5213010,151289787000,29021.635677
France,0.18644202088866302,0.2670816864313239,2003,6708.22497498233,621.352193512135,3374.49080907079,10704.0679775653,0,0.0136923311792033,0.010811129643975499,0.0028812015352277197,0.06312513720908519,62037544,1751797978000,28148.115653
Germany,0.0999449027419138,0.19507606973519337,2003,6718.3782337706,563.984892903777,4311.43059747471,11593.7937241491,0,0.011410823036350898,0.0105417654801763,8.690233507571971e-4,0.052803257723565304,82534175,2465900620000,30238.269264
Greece,NA,NA,2003,3302,455.253069396086,1166.76669622516,4924,0,0.013000000000000001,0.01,0.00219,0.042,10928072,260874534000,23871.921816
Hungary,0.023,0.35200000000000004,2003,5993.92405500486,891.459100623947,1690.83855742007,8576.22171304888,0,0.0133530551095214,0.0126733519248624,6.79703184659007e-4,0.0610798321229108,10129554,156657223000,15465.365352
Iceland,0.0696838003896299,0.4313888451314044,2003,5808.80201883865,NA,2214.22988194957,8023.03190078822,0,0.011564816883953,0.011564816883953,NA,0.0795071612090406,289522,9457361000,32690.496031
Italy,0.011039989091818102,0.2671451983887021,2003,5375.16908494661,282.726856080242,3105.86475347453,8763.76069450138,0,0.009271320435671429,0.00913963578115002,NA,0.05052238232361549,57399187,1671645374000,29123.14761
Japan,0.264172255095332,0.34210149867119616,2003,NA,NA,NA,11555.5006999904,0,0.0125919302357793,0.010449381110272899,0.00214254912550647,0.0476815828982218,127619000,3755614102000,29424.871918
Mexico,NA,NA,2003,4998.04882449202,NA,775.977149956312,5774.02597444834,0,0.013286821527000801,NA,NA,0.0677625521899826,102890474,1183622677000,11302.737554
Netherlands,NA,NA,2003,8335.30996188735,2.58554781866751,5106.49441724807,13444.3899269541,0,0.0125533904049579,0.0125533904049579,NA,0.0498848182409563,16225303,553516941000,34115.065703
New Zealand,NA,NA,2003,NA,NA,NA,8832.25583946945,0,0.0151672200754175,0.0126015950224457,0.00256562505297181,0.0683826430238822,4027199.9999999995,96497421000,23856.565373
Norway,0.0453064144344647,0.39793749887086344,2003,9104.72296763116,205.39789208278,4462.25432159318,13772.3751813071,0,0.0151787384770524,NA,NA,0.0655651357702101,4564856,175993115000,38552.708652
Poland,NA,0.44140040553404397,2003,3956.98281110123,3.34575286827056,628.306317859639,4588.63488182914,0,0.014991243338016,NA,NA,0.0644170536973827,38195177,468991594000,12278.87403
Portugal,NA,NA,2003,NA,NA,NA,7199.93732460771,0,0.0113434033682985,NA,NA,0.0592070822627978,10458821,217853063000,20829.642284
